# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
枪战	槍戰	gun battle; firefight
枪手	槍手	gunman; sharpshooter; sb who takes an exam for sb else
枪打出头鸟	槍打出頭鳥	the shot hits the bird that pokes its head out; nonconformity gets punished
枪托	槍托	butt of a gun; stock
枪把儿	槍把兒	butt of a gun
枪支	槍支	a gun; guns in general
枪替	槍替	to substitute for sb in sitting an examination
枪术	槍術	qiang
枪机	槍機	bolt of gun
枪杀	槍殺	to shoot dead
枪杆	槍桿	gun barrel
枪杆儿	槍桿兒	gun barrel
枪杆子	槍桿子	gun barrel
枪林箭雨	槍林箭雨	forest of spear, rain of arrows
枪枝	槍枝	variant of
枪栓	槍栓	gun bolt
枪械	槍械	firearm
枪榴弹	槍榴彈	rifle grenade
枪毙	槍斃	to execute by firing squad; to shoot dead; fig. to discard
枪法	槍法	marksmanship
枪灰色	槍灰色	gunmetal gray
枪炮	槍砲	firearm
枪版	槍版	amateur pirated DVD, made e.g. by shooting a running movie
枪眼	槍眼	loophole; embrasure
枪筒	槍筒	barrel of a gun
枪管	槍管	gun barrel
枪膛	槍膛	bore of a gun
枪衣	槍衣	gun cover
枪闩	槍閂	breech bolt
枫	楓	maple
枫叶	楓葉	maple leaf
枫叶国	楓葉國	Canada
枫叶鼠	楓葉鼠	winter white dwarf hamster
枫木	楓木	maple
枫树	楓樹	maple
枫糖	楓糖	maple syrup
枫香木	楓香木	Chinese sweetgum
枫香树	楓香樹	Chinese sweetgum
枭	梟	owl; valiant; trafficker
枭雄	梟雄	ambitious and ruthless character; formidable person
枭首	梟首	to behead
枭首示众	梟首示眾	to behead sb and display the head in public
枯	枯	withered; dried up; dull
枯叶	枯葉	dead leaf; withered leaf
枯叶剂	枯葉劑	Agent Orange
枯寂	枯寂	bleak; desolate; devoid of liveliness
枯干	枯乾	dried up; shriveled; withered
枯木	枯木	dead tree
枯木逢春	枯木逢春	lit. the spring comes upon a withered tree; fig. to get a new lease on life; to be revived
枯朽	枯朽	withered and rotten
枯树	枯樹	withered tree
枯槁	枯槁	withered; haggard
枯死	枯死	to wither and die; withered and dead
枯水	枯水	scarce water; low water level
枯水期	枯水期	dry season; low-water period
枯燥	枯燥	dry and dull; uninteresting; tedious
枯燥无味	枯燥無味	tedious; dreary
枯竭	枯竭	used up; dried up; exhausted
枯茗	枯茗	cumin
枯草	枯草	withered grass; dry grass
枯草杆菌	枯草桿菌	bacillus subtilis
枯草热	枯草熱	hay fever
枯萎	枯萎	to wilt; to wither; wilted
枯萎病	枯萎病	blight
枰	枰	chess-like game
枲	枲	male nettle-hemp
枳	枳	hedge thorn
枳壳	枳殼	bitter orange
枳实	枳實	dried fruit of immature citron or trifoliate orange
枵	枵	hollow of a tree; empty; hollow
架	架	to support; frame; rack
架上绘画	架上繪畫	easel painting
架不住	架不住	unable to withstand; cannot bear; can't stand it
架二郎腿	架二郎腿	to stick one leg over the other
架势	架勢	attitude; position
架子	架子	shelf; frame; stand
架子猪	架子豬	feeder pig
架子车	架子車	two-wheeled handcart
架子鼓	架子鼓	drum kit
架拐	架拐	to use a crutch
架构	架構	to construct; to build; structure
架构师	架構師	architect
架桥	架橋	to bridge; to put up a bridge
架次	架次	sortie; flight
架空	架空	to build (a hut etc) on stilts; to install (power lines etc) overhead; unfounded
架空历史	架空歷史	alternate history; counterfactual history
架空索道	架空索道	aerial ropeway; cable car
架设	架設	to construct; to erect
架走	架走	to hustle sb away
枷	枷	cangue
枷板	枷板	cangue; fig. difficult situation
枷销	枷銷	yoke; chains; shackles
枷锁	枷鎖	stocks and chain; in fetters
枸	枸	bent; crooked
枸杞	枸杞	wolfberry; genus Lycium
枸杞子	枸杞子	goji berry
枸橘	枸橘	trifoliate orange
枸橼	枸櫞	citron
枸骨	枸骨	Chinese holly
枹	枹	Quercus glandulifera
枻	枻	oar; stand for correcting a bow
柁	柁	main beam of roof
柃	柃	Eurya japonica
柄	柄	handle or shaft; stem; sth that affords an advantage to an opponent
柄国	柄國	to hold state power; to rule
柄政	柄政	to rule; to be in power
柄权	柄權	to hold power
柄臣	柄臣	powerful official; big shot
柅	柅	to stop
柈	柈	plate
柊叶	柊葉	Phrynium capitatum
柎	柎	calyx of flower
柏	柏	cedar; cypress; used for transcribing names
柏举之战	柏舉之戰	Battle of Baiju (506 BC), in which Wu scored a crushing victory over Chu
柏乡县	柏鄉縣	Baixiang, a county in Xingtai City , Hebei
柏克莱	柏克萊	Berkeley; George Berkeley (1685-1753), Bishop of Cloyne, famous British philosopher; Berkeley, university city in the San Francisco bay area, California
柏克郡	柏克郡	Berkshire
柏孜克里克千佛洞	柏孜克里克千佛洞	the Bezeklik Thousand Buddha Caves, in the Turpan Basin, Xinjiang
柏崎	柏崎	Kashiwazaki; Kashiwazaki, town in Niigata prefecture, Japan; Kashiwazaki, title of a Noh play
柏崎刈羽	柏崎刈羽	Kashiwasaki Kariwa, site of Japanese nuclear power plant near Niigata
柏崎市	柏崎市	Kashiwazaki city, Japan
柏悦	柏悅	Park Hyatt
柏拉图	柏拉圖	Plato (c. 427 – c. 347 BC), Greek philosopher
柏拉图哲学	柏拉圖哲學	Platonism
柏林	柏林	Berlin, capital of Germany
柏林围墙	柏林圍牆	Berlin Wall
柏林墙	柏林牆	Berlin Wall
柏林工业大学	柏林工業大學	Technical University of Berlin, Germany
柏柏尔	柏柏爾	Berber people of North Africa
柏树	柏樹	cypress tree
柏油	柏油	asphalt; tar; pitch
柏油路	柏油路	tarred road; asphalt road
柏油马路	柏油馬路	tarred road; asphalt road
柏节松操	柏節松操	chaste widowhood
柏蒂切利	柏蒂切利	Sandro Botticelli (1445-1510) Italian painter of the Florentine school
柏辽兹	柏遼茲	Hector Berlioz (1803-1869), French romantic composer, author of Symphonie Fantastique
柏青哥	柏青哥	pachinko
某	某	some; a certain; sb or sth indefinite
某事	某事	something; a certain matter
某些	某些	some; certain
某人	某人	someone; a certain person; some people
某地	某地	somewhere; some place
某处	某處	somewhere
某时	某時	sometime
某某	某某	so-and-so; such-and-such
某物	某物	something
某甲	某甲	somebody; certain individual
某种	某種	some kind
柑	柑	large tangerine
柑橘	柑橘	citrus
柑橘酱	柑橘醬	marmalade
柒	柒	seven
染	染	to dye; to catch; to acquire
染上	染上	to catch; to get
染厂	染廠	dye factory; dye-works
染发	染髮	to get one's hair dyed
染发剂	染髮劑	hair dye; rinse; tint
染坊	染坊	dyehouse; dyeing workshop
染布	染布	to dye cloth
染指	染指	to dip a finger; fig. to get one's finger in the pie; to get a share of the action
染指于鼎	染指於鼎	lit. dip one's finger in the tripod; fig. to get one's finger in the pie; to get a share of the action
染指垂涎	染指垂涎	lit. dirty finger, mouth watering; fig. greedy to seize sth
染料	染料	dye
染毒	染毒	contamination
染病	染病	to catch an illness; to get infected with a disease
染织	染織	dyeing and weaving
染色	染色	to dye
染色体	染色體	chromosome
染色体倍性	染色體倍性	ploidy
染色质	染色質	chromatin
染风习俗	染風習俗	bad habits; to get into bad habits through long custom
柔	柔	soft; flexible; supple
柔佛	柔佛	Johor
柔佛州	柔佛州	Johor
柔佛海峡	柔佛海峽	Straits of Johor
柔和	柔和	gentle; soft
柔媚	柔媚	gentle and lovely; charming
柔嫩	柔嫩	tender; delicate
柔弱	柔弱	weak; delicate
柔性	柔性	flexibility
柔情	柔情	gentle feelings; tender sentiments
柔情似水	柔情似水	tender and soft as water; deeply attached to sb
柔情侠骨	柔情俠骨	gentle feelings and chivalrous disposition
柔情脉脉	柔情脈脈	full of tender feelings; tender-hearted
柔曼	柔曼	soft; gentle
柔术	柔術	jujitsu; contortion
柔滑	柔滑	soft; smooth; silky
柔美	柔美	gentle and beautiful
柔肠寸断	柔腸寸斷	lit. to feel as if one's intestines have been cut short; broken-hearted
柔肤水	柔膚水	skin toner
柔能克刚	柔能克剛	lit. the soft can subdue the hard
柔荑花序	柔荑花序	catkin
柔身术	柔身術	contortion
柔软	柔軟	soft
柔软剂	柔軟劑	fabric softener
柔软精	柔軟精	fabric softener
柔道	柔道	judo
柔韧	柔韌	pliable and tough; supple and strong; flexible
柔顺	柔順	gentle and agreeable; supple; yielding
柔顺剂	柔順劑	fabric softener
柘	柘	a thorny tree; sugarcane; Cudrania triloba
柘丝	柘絲	silk from worms fed on leaves
柘城县	柘城縣	Zhecheng, a county in Shangqiu City , Henan
柘弓	柘弓	bow made from the tree
柘弹	柘彈	slingshot made from the tree
柘树	柘樹	silkworm thorn tree
柘榴	柘榴	pomegranate
柘榴石	柘榴石	garnet
柘浆	柘漿	sugarcane juice
柘砚	柘硯	ink slabs from a place in Shandong
柘荣县	柘榮縣	Zherong, a county in Ningde City , Fujian
柘蚕	柘蠶	silkworms fed on the leaves of the tree
柘袍	柘袍	imperial yellow robe
柘黄	柘黃	yellow dye made from the bark of the tree
柙	柙	cage; pen; scabbard
柚	柚	pomelo; shaddock; oriental grapefruit
柚子	柚子	pomelo; shaddock; oriental grapefruit
柚木	柚木	pomelo tree; shaddock; oriental grapefruit
柜	柜	Salix multinervis; cupboard; cabinet
柜台	櫃檯	sales counter; front desk; bar
柜员	櫃員	teller; counter clerk
柜员机	櫃員機	ATM
柜哥	櫃哥	sales guy; retail associate
柜姐	櫃姐	sales girl; retail associate
柜子	櫃子	cupboard; cabinet
柝	柝	watchman's rattle
柞	柞	oak; Quercus serrata
柞栎	柞櫟	Mongolian oak
柞水县	柞水縣	Zhashui, a county in Shangluo City , Shaanxi
柞蚕丝	柞蠶絲	tussah silk
柠檬	檸檬	lemon
柠檬水	檸檬水	lemonade
柠檬汁	檸檬汁	lemon juice
柠檬烯	檸檬烯	limonene
柠檬片	檸檬片	slice of lemon
柠檬茶	檸檬茶	lemon tea
柠檬草	檸檬草	lemongrass
柠檬酸	檸檬酸	citric acid
柠檬酸循环	檸檬酸循環	citric acid cycle; Krebs cycle; tricarboxylic acid cycle
柠檬鸡	檸檬雞	lemon chicken
柠烯	檸烯	limonene
柢	柢	foundation; root
柣	柣	threshold
柤	柤	Chaenomeles japonica
查	查	to research; to check; to investigate
查克·诺里斯	查克·諾里斯	Chuck Norris (1940-), American martial artist and actor
查克拉	查克拉	chakra
查克瑞	查克瑞	chakra
查出	查出	to find out; to discover
查办	查辦	to investigate and handle
查加斯病	查加斯病	Chagas disease; American trypanosomiasis
查勘	查勘	to investigate
查哨	查哨	to check the sentries
查处	查處	to investigate and handle
查夜	查夜	night patrol; to make nightly rounds
查字法	查字法	look-up method for Chinese characters
查实	查實	to verify; to ascertain
查对	查對	to scrutinize; to examine; to check
查封	查封	to sequester; to seize; to seal up
查尔斯	查爾斯	Charles
查尔斯·格雷	查爾斯·格雷	Charles Grey (1764-1845), prime minister of the United Kingdom 1830-34
查尔斯·狄更斯	查爾斯·狄更斯	Charles Dickens (1812-1870), great English novelist
查尔斯顿	查爾斯頓	Charleston
查岗	查崗	to check the guard posts; to check up on sb
查帐	查帳	to audit accounts; to inspect accounting books
查德	查德	Chad
查戈斯群岛	查戈斯群島	Chagos Archipelago, coral archipelago in tropical Indian Ocean, with Diego Garcia · as largest island
查房	查房	to inspect a room; to do the rounds
查扣	查扣	to seize; to confiscate
查找	查找	to search for; to look up
查抄	查抄	to take inventory of and confiscate a criminal's possessions; to search and confiscate; to raid
查拳	查拳	Cha Quan - "Cha Fist" - Martial Art
查探	查探	to check; to investigate; to probe
查收	查收	to check for receipt of
查明	查明	to investigate and find out; to ascertain
查普曼	查普曼	Chapman
查核	查核	to check
查检	查檢	to check; to consult; to look up
查水表	查水表	to ask to be let in on the pretext of checking the water meter; to barge into people's home on false pretences
查没	查沒	to confiscate
查清	查清	to find out; to ascertain; to get to the bottom of
查点	查點	to check; to tally; to inventory
查理周刊	查理週刊	Charlie Hebdo
查理大帝	查理大帝	Charlemagne (c. 747-c. 814), King of the Franks, Holy Roman Emperor from 800
查看	查看	to look over; to examine; to check up
查票员	查票員	ticket inspector
查禁	查禁	to prohibit; to ban; to suppress
查究	查究	to follow up a study; to investigate
查缉	查緝	to search for and seize
查考	查考	to examine; to investigate; to try to determine
查获	查獲	to track down and seize
查访	查訪	to investigate
查证	查證	to check; to verify
查询	查詢	to check; to inquire; to consult
查调	查調	to obtain (information) from a database etc
查重	查重	to check for duplication in a text or dataset
查铺	查鋪	to conduct a bed check
查问	查問	to inquire about
查阅	查閱	to consult; to refer to; to look sth up in a reference source
查韦斯	查韋斯	Chavez, Spanish name
查验	查驗	inspection; to examine
柦	柦	a kind of wooden desk without legs
柩	柩	bier
柬	柬	card; note; letter
柬吴哥王朝	柬吳哥王朝	Ankor Dynasty of Cambodia, 802-1431
柬埔寨	柬埔寨	Cambodia
柮	柮	wood scraps
柯	柯	branch; stem; stalk
柯P	柯P	Professor Ko, nickname for Ko Wen-je
柯劭忞	柯劭忞	Ke Shaomin (1850-1933), scholar, author of New History of the Yuan Dynasty
柯南·道尔	柯南·道爾	Sir Arthur Conan Doyle (1859-1930), author of the Sherlock Holmes stories ·
柯坪县	柯坪縣	Kalpin, a county in Aksu Prefecture , Xinjiang
柯城区	柯城區	Kecheng, a district of Quzhou City , Zhejiang
柯基	柯基	corgi
柯夫塔	柯夫塔	kofta
柯密	柯密	Kermit
柯尔克孜	柯爾克孜	Kyrgyz ethnic group
柯尔克孜族	柯爾克孜族	Kyrgyz ethnic group
柯尔克孜语	柯爾克孜語	Kyrghiz language
柯尼斯堡	柯尼斯堡	Königsberg, Baltic port city, capital of East Prussia
柯式印刷	柯式印刷	offset printing
柯文哲	柯文哲	Ko Wen-je (1959-), Taiwanese independent politician, Mayor of Taipei City from 2014
柯林	柯林	Colin
柯林斯	柯林斯	Collins
柯林顿	柯林頓	Clinton; Bill Clinton (1946-), US Democratic politician, president 1993-2001; Hillary Rodham Clinton (1947-), US Democratic politician
柯桥区	柯橋區	Keqiao, a district of Shaoxing City , Zhejiang
柯棣华	柯棣華	Dwarkanath Kotnis (1910-1942), one of five Indian doctors sent to China to provide medical assistance during the Second Sino-Japanese War
柯沙奇病毒	柯沙奇病毒	Coxsackievirus
柯萨奇病毒	柯薩奇病毒	Coxsachie A intestinal virus
柯西	柯西	Augustin-Louis Cauchy (1789-1857), French mathematician
柯达	柯達	Kodak
柯那克里	柯那克里	Conakry, capital of Guinea
柯里化	柯里化	currying
柰	柰	Chinese pearleaf crabapple
柰子	柰子	Chinese pearleaf crabapple; tits
柱	柱	pillar
柱体	柱體	cylinder; prism
柱型图	柱型圖	bar graph; bar diagram
柱塞	柱塞	plunger; piston
柱头	柱頭	capital; column head; stigma
柱子	柱子	pillar
柱梁	柱梁	pillar
柱状图	柱狀圖	bar chart
柱石	柱石	pillar
柱身	柱身	column shaft
柲	柲	weapon handle of bamboo strips
柳	柳	willow
柳丁	柳丁	orange
柳丁氨醇	柳丁氨醇	albuterol (also known as proventil, salbutamol, ventolin), an asthma drug
柳体	柳體	calligraphic style of Liu Gongquan
柳公权	柳公權	Liu Gongquan (778-865), Tang calligrapher
柳北区	柳北區	Liubei, a district of Liuzhou City , Guangxi
柳南区	柳南區	Liunan, a district of Liuzhou City , Guangxi
柳叶刀	柳葉刀	lancet
柳啼花怨	柳啼花怨	desolate
柳城县	柳城縣	Liucheng, a county in Liuzhou City , Guangxi
柳子戏	柳子戲	Shandong opera
柳宗元	柳宗元	Liu Zongyuan (773-819), Tang essayist and poet, advocate of the classical writing and neoclassical movements
柳州市	柳州市	Liuzhou, prefecture-level city in Guangxi Zhuang Autonomous Region
柳暗花明	柳暗花明	lit. the willow trees make the shade, the flowers give the light; at one's darkest hour, a glimmer of hope; light at the end of the tunnel
柳杉	柳杉	Japanese cedar
柳杞	柳杞	willow
柳条	柳條	willow twig; osier; wicker
柳条湖事件	柳條湖事件	the Mukden or Manchurian Railway Incident of 18th September 1931 used by the Japanese as a pretext to annex Manchuria
柳条边	柳條邊	Willow palisade across Liaoning, 17th century barrier
柳松菇	柳松菇	poplar mushroom
柳林县	柳林縣	Liulin, a county in Lüliang City , Shanxi
柳树	柳樹	willow
柳橙	柳橙	orange
柳橙汁	柳橙汁	orange juice
柳毅传	柳毅傳	story of Liu Yi, Tang fantasy fiction by Li Chaowei , popular with dramatist of subsequent dynasties
柳永	柳永	Liu Yong (987-1053), Song poet
柳江区	柳江區	Liujiang, a district of Liuzhou City , Guangxi
柳河县	柳河縣	Liuhe, a county in Tonghua City , Jilin
柳烟花雾	柳煙花霧	lit. willow scent and mist of blossom; scene full of the delights of spring
柳琴	柳琴	liuqin lute, smaller version of the pipa , with holes in the soundbox, and range similar to that of a violin
柳眉	柳眉	long, shapely eyebrows
柳絮	柳絮	willow catkin
柳绿花红	柳綠花紅	green willows and red flowers; all the colors of spring
柳莺	柳鶯	leaf warbler
柳营	柳營	Liouying, a district in Tainan , Taiwan
柳陌花衢	柳陌花衢	brothel
柳雷鸟	柳雷鳥	willow ptarmigan
柳青	柳青	Liu Qing (1916-1978), writer
柴	柴	firewood; lean; thin
柴可夫斯基	柴可夫斯基	Tchaikovsky (1840-1893), Russian composer
柴桑区	柴桑區	Chaisang, a district of Jiujiang City , Jiangxi
柴油	柴油	diesel fuel
柴油发动机	柴油發動機	diesel engine
柴油机	柴油機	diesel engine
柴火	柴火	plant material used as fuel
柴犬	柴犬	shiba inu
柴田	柴田	Shibata
柴电机车	柴電機車	diesel-electric locomotive
柴禾	柴禾	plant material used as fuel
柴禾妞	柴禾妞	country girl; unsophisticated girl
柴科夫斯基	柴科夫斯基	Piotr Ilyich Tchaikowsky (1840-1893), Russian composer, composer of 6 symphonies and the opera Eugene Onegin
柴米油盐	柴米油鹽	firewood, rice, oil and salt; life's daily necessities
柴米油盐酱醋茶	柴米油鹽醬醋茶	firewood, rice, oil, salt, soy sauce, vinegar and tea; life's daily necessities
柴胡	柴胡	Chinese thorowax; root of Chinese thorowax
柴草	柴草	firewood
柴薪	柴薪	firewood
柴车	柴車	simple and crude cart
柴达木	柴達木	Tsaidam or Qaidam basin (Mongolian: salt marsh), depression northeast of the Plateau of Tibet, located between the Qilian Shan and the Kunlun Shan at the northern margin of the Tibetan Plateau.
柴达木盆地	柴達木盆地	Tsaidam or Qaidam basin (Mongolian: salt marsh), depression northeast of the Plateau of Tibet, located between the Qilian Shan and the Kunlun Shan at the northern margin of the Tibetan Plateau.
柴门	柴門	lit. woodcutter's family; humble background; poor family background
柴门小户	柴門小戶	woodcutter's cottage; poor person's hovel; fig. my humble house
柴鱼片	柴魚片	katsuobushi or dried bonito flakes
柴鸡	柴雞	a variety of free-range chicken, small with furless legs, laying smaller eggs
柶	柶	spoon; ladle
柷	柷	percussion instrument, a tapering wooden box struck on the inside with a wooden stick
柸	柸	to hate; bear grudge
柽	檉	tamarisk
柿	柿	persimmon
柿子	柿子	persimmon; tomato
柿子挑软的捏	柿子挑軟的捏	lit. it's the soft persimmons that people choose to squeeze; bullies pick soft targets
柿子椒	柿子椒	bell pepper, aka sweet pepper
柿饼	柿餅	dried persimmon
栀	梔	gardenia; cape jasmine
栀子	梔子	cape jasmine
栀子花	梔子花	cape jasmine
栃	栃	type of tree in ancient books; stable
栅	柵	fence
栅子	柵子	bamboo fence
栅条	柵條	paling; fence rail
栅极	柵極	grid; gate
栅栏	柵欄	fence
栅格	柵格	grid; lattice; raster
栅篱	柵籬	hedge; fence
栅门	柵門	gate; door with grating; turnstile
标	標	mark; sign; label
标书	標書	bid or tender submission or delivery; bid or tender document
标价	標價	to mark the price; marked price
标会	標會	private loan association where money is allocated through bidding; meeting of such an association; to win the bidding at such a meeting
标兵	標兵	parade guards; example; model
标准	標準	standard; norm; criterion
标准像	標準像	official portrait
标准化	標準化	standardization
标准尺寸	標準尺寸	gauge
标准差	標準差	standard deviation
标准时	標準時	standard time
标准普尔	標準普爾	S&P (formerly Standard & Poor's), financial services company
标准杆	標準桿	par
标准模型	標準模型	Standard Model
标准状况	標準狀況	standard conditions for temperature and pressure
标准状态	標準狀態	standard conditions for temperature and pressure
标准组织	標準組織	standards organization; standards body
标准规格	標準規格	standard; norm
标准语	標準語	standard language
标准间	標準間	standard (hotel) room; two-person room of standard size and amenities
标准音	標準音	standard pronunciation; standard tone
标卖	標賣	to sell at marked price; to sell by tender
标号	標號	grade
标售	標售	to sell by tender
标图	標圖	mark on map or chart
标地	標地	plot of land
标定	標定	to stake out; to demarcate; to calibrate
标尺	標尺	surveyor's rod; staff; staff gauge
标帜	標幟	banner; standard
标底	標底	base number; starting price
标度	標度	scale
标得	標得	to win (sth) in a bid
标志	標誌	sign; mark; symbol
标志性	標誌性	iconic
标新取异	標新取異	to start on sth new and different; to display originality
标新立异	標新立異	to make a show of being original or unconventional
标新竞异	標新競異	to start on sth new and different; to display originality
标新领异	標新領異	to bring in the new; new directions, different creation
标明	標明	to mark; to indicate
标普	標普	S&P (formerly Standard & Poor's), financial services company
标本	標本	specimen; sample; the root cause and symptoms of a disease
标本虫	標本蟲	spider beetle
标杆	標杆	surveyor's pole; post; goal
标枪	標槍	javelin
标架	標架	a coordinate frame
标柱	標柱	distance marker; pole marking distance on racetrack
标格	標格	style; character
标桩	標樁	stake
标榜	標榜	to flaunt; to advertise; to parade
标注	標注	to mark out; to tag; to put a sign on sth explaining or calling attention to
标清	標清	standard definition
标灯	標燈	beacon light; beacon
标点	標點	punctuation; a punctuation mark; to punctuate
标点符号	標點符號	punctuation; a punctuation mark
标牌	標牌	label; tag; sign
标界	標界	to demarcate a boundary; dividing line
标的	標的	target; aim; objective
标砖	標磚	marker brick; keystone
标示	標示	to indicate
标称	標稱	nominal
标章	標章	seal of approval; certification mark
标竿	標竿	benchmark; pole serving as mark or symbol; pole with a trophy hung on it
标签	標籤	label; tag; tab
标签页	標籤頁	tab
标线	標線	marking line; reticle; graticule
标绘	標繪	to plot; to mark
标致	標致	Peugeot; beautiful; pretty
标记	標記	sign; mark; symbol
标识	標識	identifying mark, sign, label etc; to mark or label for identification
标语	標語	written slogan; placard
标语牌	標語牌	placard
标配	標配	to provide as a standard feature; standard feature; standard equipment
标量	標量	scalar quantity
标金	標金	standard gold bar; deposit when submitting a tender
标音法	標音法	phonetic transcription; system of representing spoken sounds
标题	標題	title; heading; headline
标题党	標題黨	"sensational headline writers", people who write misleading titles in order to generate clicks from Internet users; clickbait
标题新闻	標題新聞	headline news; title story
标题栏	標題欄	title bar
标题语	標題語	title word; entry
标高	標高	elevation; level
栈	棧	a wooden or bamboo pen for sheep or cattle; wood or bamboo trestlework; a warehouse
栈主	棧主	innkeeper
栈单	棧單	cargo receipt; landing account; warehouse or storage receipt
栈地址	棧地址	stack address
栈存储器	棧存儲器	stack memory
栈山航海	棧山航海	to have a long and hard journey
栈径	棧徑	a plank road
栈恋	棧戀	sentimental attachment to a person or place
栈房	棧房	warehouse; storehouse; inn
栈板	棧板	pallet
栈架	棧架	trestle
栈桥	棧橋	a pier; a landing-stage; a loading trestle for goods or passengers
栈桥式码头	棧橋式碼頭	jetty; pier
栈租	棧租	warehouse rent; cost of storage
栈豆	棧豆	fodder
栈车	棧車	ancient vehicle made of wood and bamboo
栈道	棧道	plank walkway constructed on the face of a cliff; elevated passageway connecting the upper levels of adjacent towers
栈阁	棧閣	plank road built along the side of a cliff
栈顶	棧頂	stack top
栉	櫛	comb; to comb; to weed out
栉孔扇贝	櫛孔扇貝	Farrer's scallop (Chlamys farreri), aka Chinese scallop
栉比	櫛比	lined up close
栉水母	櫛水母	comb jellies
栉瓜	櫛瓜	zucchini; courgette; baby marrow
栉风沐雨	櫛風沐雨	lit. to comb one's hair in the wind and wash it in the rain; fig. to work in the open regardless of the weather
栊	櫳	window; cage for animals
栋	棟	classifier for houses or buildings; ridgepole
栋梁	棟梁	ridgepole; ridgepole and beams; person able to bear heavy responsibility
栌	櫨	capital; smoke tree
栎	櫟	oak; Quercus serrata
栎树	櫟樹	oak tree
栏	欄	fence; railing; hurdle
栏位	欄位	field
栏圈	欄圈	pen; animal yard
栏杆	欄杆	railing; banister
栏架	欄架	hurdle
栏栅	欄柵	barrier
栏目	欄目	regular column or segment; program
栐	栐	a kind of tree whose timber was used to make ceremonial tablets
树	樹	tree; to cultivate; to set up
树上开花	樹上開花	to deck the tree with false blossoms; to make something of no value appear valuable
树上熟	樹上熟	tree-ripe
树丛	樹叢	thicket; undergrowth
树人	樹人	to prepare children to become capable citizens
树倒猢狲散	樹倒猢猻散	When the tree topples the monkeys scatter.; fig. an opportunist abandons an unfavorable cause; Rats leave a sinking ship.
树冠	樹冠	treetop
树化玉	樹化玉	wood jade
树叶	樹葉	tree leaves
树大招风	樹大招風	lit. a tall tree attracts the wind; fig. a famous or rich person attracts criticism
树屋	樹屋	tree house
树干	樹幹	tree trunk
树懒	樹懶	sloth
树挂	樹掛	ice (rime) formed on a tree
树挪死，人挪活	樹挪死，人挪活	lit. if moved to a new location, a tree will die, but a person will live; fig. human beings, unlike trees, thrive on change
树敌	樹敵	to antagonize people; to make an enemy of sb
树木	樹木	tree
树林	樹林	Shulin city in New Taipei City , Taiwan; woods; grove
树林市	樹林市	Shulin city in New Taipei City , Taiwan
树枝	樹枝	branch; twig
树枝状晶	樹枝狀晶	dendritic crystal
树栖	樹棲	arboreal; tree-dwelling
树根	樹根	tree roots
树桩	樹樁	tree stump
树梢	樹梢	the tip of a tree; treetop
树欲静而风不止	樹欲靜而風不止	lit. the trees long for peace but the wind will never cease; fig. the world changes, whether you want it or not
树洞	樹洞	tree hollow; anonymous platform for sharing secrets; confidant
树液	樹液	tree sap
树熟	樹熟	tree-ripe
树状细胞	樹狀細胞	dendritic cell
树獭	樹獺	sloth
树番茄	樹番茄	tamarillo
树皮	樹皮	tree bark
树碑立传	樹碑立傳	lit. to erect a stele and write a biography; to monumentalize; to glorify
树种	樹種	tree species
树突	樹突	dendrite
树突状细胞	樹突狀細胞	dendritic cell
树立	樹立	to set up; to establish
树篱	樹籬	hedge
树胶	樹膠	tree resin; gum
树脂	樹脂	resin
树苗	樹苗	sapling; young tree
树荫	樹蔭	shade of a tree
树莓	樹莓	bramble; raspberry
树莓派	樹莓派	Raspberry Pi
树菠萝	樹菠蘿	jackfruit
树葡萄	樹葡萄	jaboticaba; Brazilian grape tree
树葬	樹葬	burial of cremated remains at the foot of a tree
树蛙	樹蛙	tree frog
树袋熊	樹袋熊	koala
树身	樹身	tree trunk
树阴	樹陰	shade
树高千丈，叶落归根	樹高千丈，葉落歸根	fig. a tree may grow a thousand zhang high, but its leaves return to their roots; fig. everything has its ancestral home; in old age, an expatriate returns home
树鹨	樹鷚	olive-backed pipit
树麻雀	樹麻雀	Eurasian tree sparrow
树龄	樹齡	age of a tree
栒	栒	cross bar
栓	栓	bottle stopper; plug; bolt
栓剂	栓劑	suppository
栓塞	栓塞	embolism
栓子	栓子	embolus
栓皮	栓皮	cork
栓皮栎	栓皮櫟	Chinese cork oak
栔	栔	carve; cut
栖	棲	to perch; to rest; to dwell
栖住	棲住	to dwell; to live
栖地	棲地	habitat
栖居	棲居	to inhabit; to live in
栖息	棲息	to perch; to inhabit; to dwell
栖息地	棲息地	habitat
栖木	棲木	roost; perch
栖栖	棲棲	restless; unsettled
栖栖遑遑	棲棲遑遑	restless; unsettled
栖身	棲身	to stay at; to live in
栖霞区	棲霞區	Qixia, a district of Nanjing City , Jiangsu
栖霞市	棲霞市	Qixia, a county-level city in Yantai City , Shandong
栗	慄	cold; chilly; to tremble with fear
栗啄木鸟	栗啄木鳥	rufous woodpecker
