# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
一哭二闹三上吊	一哭二鬧三上吊	to cry, then shout, then threaten suicide; to make a terrible scene; to throw a tantrum
一唱一和	一唱一和	to echo one another
一唱三叹	一唱三嘆	concise yet deeply evocative; inviting repeated savoring
一回事	一回事	one and the same; one thing
一回生二回熟	一回生二回熟	unfamiliar at first, but well accustomed soon enough
一团乱糟	一團亂糟	a chaotic mess
一团和气	一團和氣	to keep on the right side of everyone
一团漆黑	一團漆黑	pitch-dark; completely in the dark; totally ignorant of
一团火	一團火	fireball; ball of fire
一团糟	一團糟	chaos; bungle; complete mess
一国两制	一國兩制	one country, two systems
一地鸡毛	一地雞毛	complete mess; in a shambles
一场空	一場空	all in vain; futile
一块	一塊	a piece; a chunk; aspect
一堆	一堆	pile; heap; a lot of
一塌糊涂	一塌糊塗	muddled and completely collapsing; in an awful condition; complete shambles
一壁	一壁	at the same time; simultaneously; while
一声	一聲	first tone in Mandarin
一声不吭	一聲不吭	to not say a word
一声不响	一聲不響	to keep totally silent; noiselessly
一夔已足	一夔已足	one talented person is enough for the job
一夕	一夕	overnight; instantly; very quickly
一夕数惊	一夕數驚	one scare after another in a single night; to live in fear
一多对应	一多對應	one-to-many correspondence
一夜之间	一夜之間	overnight
一夜情	一夜情	one night stand
一夜无眠	一夜無眠	to have a sleepless night
一夜爆红	一夜爆紅	to become popular overnight
一夜露水	一夜露水	one-night stand; ephemeral
一大早	一大早	at dawn; at first light; first thing in the morning
一大通	一大通	a whole lot of ...; an endless stream of ...
一天一个样	一天一個樣	to change from day to day
一天到晚	一天到晚	all day long; the whole day
一夫一妻	一夫一妻	monogamy
一夫多妻	一夫多妻	polygyny
一夫当关，万夫莫开	一夫當關，萬夫莫開	one man guarding the pass can prevent the passage of ten thousand
一失足成千古恨	一失足成千古恨	a single slip may cause everlasting sorrow
一头	一頭	one head; a head full of sth; one end
一头栽进	一頭栽進	to plunge into; to run headlong into
一头热	一頭熱	one-sided enthusiasm
一头雾水	一頭霧水	to be confused; to be baffled
一套	一套	suit; a set; a collection
一如	一如	to be just like
一如往常	一如往常	as usual
一如所料	一如所料	as expected
一如既往	一如既往	just as in the past; as before; continuing as always
一妻制	一妻制	monogyny
一姐	一姐	top-ranked female; leading female; top female personality
一孔之见	一孔之見	partial view; limited outlook
